osmid,geometry,amenity,capacity,divvy:id,name,operator,element_type,network,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,brand,brand:wikidata,brand:wikipedia,opening_hours,shop,payment:credit_cards,payment:app,payment:subscription
2480305047,POINT (-87.6658295 41.925326),bicycle_rental,11,188,Greenview Ave & Fullerton Ave,Divvy,node,,,,,,,,,,,,,,
2480305051,POINT (-87.599383 41.809835),bicycle_rental,15,252,Greenwood Ave & 47th St,Divvy,node,,,,,,,,,,,,,,
2480305056,POINT (-87.646277 41.857499),bicycle_rental,15,202,Halsted St & 18th St,Divvy,node,,,,,,,,,,,,,,
2480305060,POINT (-87.64664999999999 41.85378),bicycle_rental,11,135,Halsted St & 21st St,Divvy,node,,,,,,,,,,,,,,
2480305064,POINT (-87.647172 41.830661),bicycle_rental,15,279,Halsted St & 35th St,Divvy,node,,,,,,,,,,,,,,
2480305070,POINT (-87.64580100000001 41.827071),bicycle_rental,11,262,Halsted St & 37th St,Divvy,node,,,,,,,,,,,,,,
2480305074,POINT (-87.646795 41.847203),bicycle_rental,15,206,Halsted St & Archer Ave,Divvy,node,,,,,,,,,,,,,,
2480305079,POINT (-87.6481174 41.909554),bicycle_rental,19,331,Halsted St & Clybourn Ave,Divvy,node,,,,,,,,,,,,,,
2480305084,POINT (-87.64883 41.919936),bicycle_rental,15,225,Halsted St & Dickens Ave,Divvy,node,,,,,,,,,,,,,,
2480305088,POINT (-87.648747 41.933341),bicycle_rental,15,332,Halsted St & Diversey Pkwy,Divvy,node,,,,,,,,,,,,,,
2480305093,POINT (-87.64877629999999 41.8818239),bicycle_rental,19,198,Green St & Madison St,Divvy,node,,,,,,,,,,,,,,
2480305097,POINT (-87.64693 41.86458),bicycle_rental,15,282,Halsted St & Maxwell St,Divvy,node,,,,,,,,,,,,,,
2480305102,POINT (-87.64664 41.87184),bicycle_rental,19,108,Halsted St & Polk St,Divvy,node,,,,,,,,,,,,,,
2480305106,POINT (-87.648917 41.943662),bicycle_rental,15,299,Halsted St & Roscoe St,Divvy,node,,,,,,,,,,,,,,
2480305111,POINT (-87.64963400000001 41.949333),bicycle_rental,15,304,Halsted St & Waveland Ave,Divvy,node,,,,,,,,,,,,,,
2480305115,POINT (-87.6485646 41.9138225),bicycle_rental,19,224,Halsted St & Willow St,Divvy,node,,,,,,,,,,,,,,
2480305119,POINT (-87.66988600000001 41.871514),bicycle_rental,15,261,Hermitage Ave & Polk St,Divvy,node,,,,,,,,,,,,,,
2480305124,POINT (-87.62248 41.8457),bicycle_rental,15,147,Indiana Ave & 26th St,Divvy,node,,,,,,,,,,,,,,
2480305128,POINT (-87.62185700000001 41.838842),bicycle_rental,11,272,Indiana Ave & 31st St,Divvy,node,,,,,,,,,,,,,,
2480305131,POINT (-87.6213894 41.8216571),bicycle_rental,15,201,Indiana Ave & 40th St,Divvy,node,,,,,,,,,,,,,,
2480305135,POINT (-87.623041 41.867888),bicycle_rental,19,255,Indiana Ave & Roosevelt Rd,Divvy,node,,,,,,,,,,,,,,
2480305139,POINT (-87.707857 41.929567),bicycle_rental,19,260,Kedzie Ave & Milwaukee Ave,Divvy,node,,,,,,,,,,,,,,
2480305144,POINT (-87.594747 41.799568),bicycle_rental,19,322,Kimbark Ave & 53rd St,Divvy,node,,,,,,,,,,,,,,
2480305146,POINT (-87.61627900000001 41.809851),bicycle_rental,11,200,MLK Jr Dr & 47th St,Divvy,node,,,,,,,,,,,,,,
2480305147,POINT (-87.63206 41.890749),bicycle_rental,19,181,LaSalle St & Illinois St,Divvy,node,,,,,,,,,,,,,,
2480305151,POINT (-87.631985 41.87817),bicycle_rental,23,283,LaSalle St & Jackson Blvd,Divvy,node,,,,,,,,,,,,,,
2480305155,POINT (-87.591875 41.809443),bicycle_rental,15,267,Lake Park Ave & 47th St,Divvy,node,,,,,,,,,,,,,,
2480305159,POINT (-87.63919199999999 41.940775),bicycle_rental,19,334,Lake Shore Dr & Belmont Ave,Divvy,node,,,,,,,,,,,,,,
2480305164,POINT (-87.62680400000001 41.911722),bicycle_rental,15,268,Lake Shore Dr & North Blvd,Divvy,node,,,,,,,,,,,,,,
2480305168,POINT (-87.642183 41.946166),bicycle_rental,19,296,Lake Shore Dr & Stratford Pl,Divvy,node,,,,,,,,,,,,,,
2480305172,POINT (-87.63679399999999 41.936669),bicycle_rental,15,157,Lake Shore Dr & Wellington Ave,Divvy,node,,,,,,,,,,,,,,
2480305176,POINT (-87.63897299999999 41.925858),bicycle_rental,19,313,Lakeview Ave & Fullerton Pkwy,Divvy,node,,,,,,,,,,,,,,
2480305180,POINT (-87.64368 41.91797),bicycle_rental,11,288,Larrabee St & Armitage Ave,Divvy,node,,,,,,,,,,,,,,
2480305184,POINT (-87.6440695 41.921821),bicycle_rental,15,144,Larrabee St & Webster Ave,Divvy,node,,,,,,,,,,,,,,
2480305192,POINT (-87.68243699999999 41.917805),bicycle_rental,11,309,Leavitt St & Armitage Ave,Divvy,node,,,,,,,,,,,,,,
2480305201,POINT (-87.68226439999999 41.9101626),bicycle_rental,11,213,Leavitt St & North Ave,Divvy,node,,,,,,,,,,,,,,
2480305205,POINT (-87.67330800000001 41.946176),bicycle_rental,15,330,Lincoln Ave & Addison St,Divvy,node,,,,,,,,,,,,,,
2480305209,POINT (-87.6803171 41.9560354),bicycle_rental,15,298,Lincoln Ave & Belle Plaine Ave,Divvy,node,,,,,,,,,,,,,,
2480305214,POINT (-87.6682778 41.9393041),bicycle_rental,15,131,Lincoln Ave & Belmont Ave,Divvy,node,,,,,,,,,,,,,,
2480305218,POINT (-87.65861700000001 41.932225),bicycle_rental,15,152,Lincoln Ave & Diversey Pkwy,Divvy,node,,,,,,,,,,,,,,
2480305222,POINT (-87.6840023 41.9688275),bicycle_rental,20,311,Leavitt St & Lawrence Ave,Divvy,node,,,,,,,,,,,,,,
2480305233,POINT (-87.67097 41.94334),bicycle_rental,19,230,Lincoln Ave & Roscoe St,Divvy,node,,,,,,,,,,,,,,
2480305234,POINT (-87.685126 41.930584),bicycle_rental,19,258,Logan Blvd & Elston Ave,Divvy,node,,,,,,,,,,,,,,
2480305236,POINT (-87.662007 41.877945),bicycle_rental,11,146,Loomis St & Jackson Blvd,Divvy,node,,,,,,,,,,,,,,
2480305240,POINT (-87.617 41.842052),bicycle_rental,15,237,MLK Jr Dr & 29th St,Divvy,node,,,,,,,,,,,,,,
2480305244,POINT (-87.6166221 41.8242768),bicycle_rental,10,13420,MLK Jr Dr & Pershing Rd,Divvy,node,,,,,,,,,,,,,,
